%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
133203521729,665,133203521729,map,17.640392303466797,-5.295007705688477,0.0,0.0,0.0,0.4270169138908386,0.9042436480522156
133453536987,666,133403533936,map,17.72702407836914,-5.371026992797852,0.0,0.0,0.0,0.4268868863582611,0.9043050408363342
133603546143,667,133603546143,map,17.814708709716797,-5.4466705322265625,0.0,0.0,0.0,0.3982231914997101,0.9172885417938232
133803558350,668,133803558350,map,17.9193115234375,-5.55036735534668,0.0,0.0,0.0,0.36717331409454346,0.9301525354385376
134053573608,669,134003570557,map,18.01645278930664,-5.6438140869140625,0.0,0.0,0.0,0.33308789134025574,0.942895770072937
134203582764,670,134203582764,map,18.109180450439453,-5.721796035766602,0.0,0.0,0.0,0.2987283170223236,0.9543381929397583
134453598022,671,134403594971,map,18.175094604492188,-5.815408706665039,0.0,0.0,0.0,0.2505277693271637,0.9681094288825989
134653610229,672,134603607178,map,18.22881317138672,-5.914449691772461,0.0,0.0,0.0,0.23118193447589874,0.9729105234146118
134803619385,673,134803619385,map,18.277721405029297,-6.016178131103516,0.0,0.0,0.0,0.23180139064788818,0.9727631211280823
135053634644,674,135003631592,map,18.328304290771484,-6.115634918212891,0.0,0.0,0.0,0.22420331835746765,0.9745423793792725
135203643799,675,135203643799,map,18.357467651367188,-6.191598892211914,0.0,0.0,0.0,0.18825221061706543,0.98212069272995
135403656006,676,135403656006,map,18.37920379638672,-6.280433654785156,0.0,0.0,0.0,0.14464722573757172,0.9894832968711853
135653671265,677,135603668213,map,18.39126968383789,-6.365800857543945,0.0,0.0,0.0,0.10497810691595078,0.9944745302200317
135853683472,678,135803680420,map,18.399158477783203,-6.461498260498047,0.0,0.0,0.0,0.06924264132976532,0.9975998401641846
136003692627,679,136003692627,map,18.422832489013672,-6.58601188659668,0.0,0.0,0.0,0.06319734454154968,0.9980010390281677
136253707886,680,136203704834,map,18.437210083007812,-6.699237823486328,0.0,0.0,0.0,0.06284646689891815,0.9980232119560242
